game_id,season,week,gameday,away_team,home_team,total_points,total_line,over_odds,under_odds,modelo,pred_total,error,error_absoluto,over_result,push_total
2024_04_JAX_HOU,2024,4,2024-09-29,JAX,HOU,44.0,44.5,-112.0,-108.0,total_sin_mercado,41.873378306664684,-2.1266216933353164,2.1266216933353164,0.0,0.0
2024_04_KC_LAC,2024,4,2024-09-29,KC,LAC,27.0,41.5,-112.0,-108.0,total_sin_mercado,41.15618208178553,14.15618208178553,14.15618208178553,0.0,0.0
2024_04_LA_CHI,2024,4,2024-09-29,LA,CHI,42.0,40.0,-115.0,-105.0,total_sin_mercado,41.981193955478815,-0.018806044521184617,0.018806044521184617,1.0,0.0
2024_04_MIN_GB,2024,4,2024-09-29,MIN,GB,60.0,44.0,-108.0,-112.0,total_sin_mercado,45.7270847124236,-14.272915287576403,14.272915287576403,1.0,0.0
2024_04_NE_SF,2024,4,2024-09-29,NE,SF,43.0,41.5,-110.0,-110.0,total_sin_mercado,47.40036433776505,4.400364337765048,4.400364337765048,1.0,0.0
2024_04_NO_ATL,2024,4,2024-09-29,NO,ATL,50.0,41.5,-108.0,-112.0,total_sin_mercado,46.39223559637254,-3.6077644036274634,3.6077644036274634,1.0,0.0
2024_04_PHI_TB,2024,4,2024-09-29,PHI,TB,49.0,42.0,-112.0,-108.0,total_sin_mercado,43.172196685177454,-5.827803314822546,5.827803314822546,1.0,0.0
2024_04_PIT_IND,2024,4,2024-09-29,PIT,IND,51.0,40.0,-110.0,-110.0,total_sin_mercado,44.5744264424754,-6.425573557524601,6.425573557524601,1.0,0.0
2024_04_WAS_ARI,2024,4,2024-09-29,WAS,ARI,56.0,49.0,-108.0,-112.0,total_sin_mercado,54.463522845203364,-1.5364771547966356,1.5364771547966356,1.0,0.0
2024_04_SEA_DET,2024,4,2024-09-30,SEA,DET,71.0,46.5,-112.0,-108.0,total_sin_mercado,40.59375891733951,-30.406241082660493,30.406241082660493,1.0,0.0
2024_04_TEN_MIA,2024,4,2024-09-30,TEN,MIA,43.0,37.0,-110.0,-110.0,total_sin_mercado,37.29780591608004,-5.702194083919963,5.702194083919963,1.0,0.0
2024_05_TB_ATL,2024,5,2024-10-03,TB,ATL,66.0,44.0,-110.0,-110.0,total_sin_mercado,44.66955113522691,-21.33044886477309,21.33044886477309,1.0,0.0
